sg nom,sg gen,sg part,sg ill,pl nom,pl gen,pl part,pl ill,pl ine,kommentaar
aapõ,aava,aapa,aapasõ,aavõd,aapojõ,aapoit,aapoisõ,aapoiz,
aastaikõ,aastaiga,aastaika,aastaikasõ,aastaigõd,aastaikojõ,aastaikoit,aastaikoisõ,aastaikoiz,
ahas,ahta,ahassõ,ahtasõ,ahtad,ahtajõ,ahtait,ahtaisõ,ahtaiz,
ahjo,ahjo,ahjoa,ahjosõ,ahjod,ahjojõ,ahjoit,ahjoisõ,ahjoiz,Laakso märkinud -se pl ill vormis
ahnõz,ahna,ahnõssõ,ahnasõ,ahnad,ahnajõ,ahnait,ahnaisõ,ahnaiz,
ahvõn,ahvõna,ahvõna,ahvõnasõ,ahvõnõd,ahvõnojõ,ahvõnoit,ahvõnoisõ,ahvõnoiz,
aikõ,aiga,aika,aikasõ,aigõd,aikojõ,aikoit,aikoisõ,aikoiz,
airo,airo,airoa,airosõ,airod,airojõ,airoit,airoisõ,airoiz,
aitõ,ajja,aita,aitasõ,aijõd,aitojõ,aitoit,aitoisõ,aitoiz,
aju,aju,ajua,ajusõ,ajud,ajujõ,ajuit,ajuisõ,ajuiz,
akkunõ,akkuna,akkuna,akkunasõ,akkunõd,akkunojõ,akkunoit,akkunoisõ,akkunoiz,
alko,algo,alkoa,alkosõ,algod,alkojõ,alkoit,alkoisõ,alkoiz,
alku,algu,alkua,alkusõ,algud,alkujõ,alkuit,alkuisõ,alkuiz,
almõzi,almõzi,almõzia,almõzi,almõzid,almõzijõ,almõziit,almõziisõ,almõziiz,
aloi,aloja,aloja,alojasõ,alojõd,alojõ,alojõit,alojõisõ,alojõiz,
aluz,alusõ,alussõ,alussõ,alusõd,alussijõ,alussiit,alussiisõ,alussiiz,
alõin,alõtsõ,alõissõ,alõttsõ,alõtsõd,alõttsijõ,alõttsiit,alõttsiisõ,alõttsiiz,
ammõz,ampa,ammõssõ,ampasõ,ampad,ampajõ,ampait,ampaisõ,ampaiz,
angõriaz,angeria,angeriassõ,angeriasõ,angeriad,angerijõ,angeriit,angeriisõ,angeriiz,
anõ,anõ,anõa,anõsõ,anõd,anõjõ,anõit,anõisõ,anõiz,
asfal̕tti,asfal̕ti,asfal̕ttia,asfal̕ttisõ,asfal̕tid,asfal̕ttijõ,asfal̕ttiit,asfal̕ttiisõ,asfal̕ttiiz,
astia,astia,astia,astiasõ,astiad,astiojõ,astioit,astioisõ,astioiz,
az̕z̕õ,az̕z̕a,az̕z̕a,az̕z̕asõ,az̕z̕ad,az̕z̕ojõ,az̕z̕oit,az̕z̕oisõ,az̕z̕oiz,
auči,audži,aučia,aučisõ,audžid,aučijõ,aučiit,aučiisõ,aučiiz,č-dž vaheldus
audžikkõin,audžikkõizõ,audžikkõissõ,audžikkõizõsõ,audžikkõizõd,audžikkõisijõ,audžikkõisiit,audžikkõisiisõ,audžikkõisiiz,Laakso märkinud dž mitte c
baabukõz,baabukka,baabukõssõ,baabukkassõ,baabukkad,baabukkojõ,baabukkait,baabukkaisõ,baabukkaiz,
bad̕d̕õ,bad̕d̕a,bad̕d̕a,bad̕d̕asõ,bad̕d̕õd,bad̕d̕ojõ,bad̕d̕oit,bad̕d̕oisõ,bad̕d̕oiz,
bagaži,bagaži,bagažia,bagažisõ,bagažid,bagažijõ,bagažiit,bagažiisõ,bagažiiz,
bahvõlõ,bahvõla,bahvõl,bahvõlasõ,bahvõlõd,bahvelojõ,bahvõloit,bahvõloisõ,bahvõloiz,
baldõhina,baldõhina,baldõhina,baldõhinasõ,baldõhinad,baldõhinojõ,baldõhinoit,baldõhinoisõ,baldõhinoiz,
balhoni,balhoni,balhonia,balhoni,balhonid,balhonijõ,balhoniit,balhoniisõ,balhoniiz,
bambukkõ,bambuka,bambukka,bambukkasõ,bambukad,bambukkijõ,bambukkiit,bambukkiisõ,bambukkiiz,
bank,banka,banka,bankasõ,bankõd,bankojõ,bankoit,bankoisõ,bankoiz,
bankrutti,bankruti,bankruttia,bankruttisõ,bankrutid,bankruttijõ,bankruttiit,bankruttiisõ,bankruttiiz,sg ill lisatud -sõ lõpp
barabana,barabana,barabana,barabanasõ,barabanad,barabanojõ,barabanoit,barabanoisõ,barabanoiz,
baroni,baroni,baronia,baronisõ,baronid,baronijõ,baroniit,baroniisõ,baroniiz,
bašmuk,bašmuka,bašmukka,bašmukkasõ,bašmukõd,bašmukkojõ,bašmukkoit,bašmukkoisõ,bašmukkoiz,
bašn̕i,bašn̕a,bašn̕a,bašn̕asõ,bašn̕õd,bašn̕ojõ,bašn̕oit,bašn̕oisõ,bašn̕oiz,
bibli,bibli,bibliä,biblise,biblid,biblije,bibliit,bibliise,bibliiz,
biblioteek,biblioteeka,biblioteekka,biblioteekkasõ,biblioteekad,biblioteekkijõ,biblioteekkiit,biblioteekkiisõ,biblioteekkiiz,
bil̕jardi,bil̕jardi,bil̕jardia,bil̕jardisõ,bil̕jardid,bil̕jardijõ,bil̕jardiit,bil̕jardiisõ,bil̕jardiiz,
biletti,bileti,bilettiä,bilettise,biletid,bilettije,bilettiit,bilettiise,bilettiiz,
biskvittõ,biskvita,biskvitta,biskvittasõ,biskvitõd,biskvittajõ,biskvittiit,biskvittiisõ,biskvittiiz,
bl̕aahõ,bl̕aaha,bl̕aaha,bl̕aahasõ,bl̕aahõd,bl̕aahojõ,bl̕aahoit,bl̕aahoisõ,bl̕aahoiz,
bl̕uud,bl̕uuda,bl̕uuda,bl̕uudasõ,bl̕uudõd,bl̕uudojõ,bl̕uudoit,bl̕uudoisõ,bl̕uudoiz,
bl̕uudõčk,bl̕uudõčka,bl̕uudõčka,bl̕uudõčkasõ,bl̕uudõčkõd,bl̕uudõčkojõ,bl̕uudõčkoit,bl̕uudõčkoisõ,bl̕uudõčkoiz,
bobrõ,bobra,bobra,bobrasõ,bobrõd,bobrojõ,bobroit,bobroisõ,bobroiz,pl gen jj aapõ järgi ise
bobuli,bobuli,bobulia,bobulisõ,bobulid,bobulijõ,bobuliit,bobuliisõ,bobuliiz,
bodroi,bodroi,bodroit,bodroisõ,bodroid,bodrojõ,bodroit,bodroisõ,bodroiz,adjektiiv?
bol̕nitts,bol̕nitsa,bol̕nittsa,bol̕nittsasõ,bol̕nitsõd,bol̕nittsojõ,bol̕nittsoit,bol̕nittsoisõ,bol̕nittsoiz,Laakso märkinud pl nom -ed
bombõ,bomba,bomba,bombasõ,bombõd,bombijõ,bombiit,bombiisõ,bombiiz,
boran,borana,borana,boranasõ,boranõd,boranojõ,boranoit,boranoisõ,boranoiz,
borkkanõ,borkkana,borkkana,borkkanasõ,barkkanõd,barkkanojõ,barkkanoit,barkkanoisõ,barkkanoiz,
borovikkõ,borovika,borovikka,borovikkasõ,borovikkad,borovikkojõ,borovikkoit,borovikkoisõ,borovikkoiz,
bruudõ,bruuda,bruuda,bruudasõ,bruudõd,bruudojõ,bruudoit,bruudoisõ,bruudoiz,
bruuss,bruusa,bruussa,bruussasõ,bruusõd,bruussijõ,bruussoit,bruussoisõ,bruussoiz,
bukvõ,bukva,bukva,bukvasõ,bukvõd,bukvijõd,bukviit,bukviisõ,bukviiz,
bul̕bukõz,bul̕bukka,bul̕bukassõ,bul̕bukkassõ,bul̕bukkad,bul̕bukkojõ,bul̕bukkait,bul̕bukkaisõ,bul̕bukkaiz,sg ill jj baabukõz järgi ise
bul̕joni,bul̕joni,bul̕jonia,bul̕jonisõ,bul̕jonid,bul̕jonijõ,bul̕joniit,bul̕joniisõ,bul̕joniiz,
bulipää,bulipää,bulipääte,bulipähäse,bulipääd,bulipäije,bulipäit,bulipäise,bulipäiz,
butkõ,budga,butka,butkasõ,budgõd,butkojõ,butkoit,butkoisõ,butkoiz,
čaaju,čaaju,čaajua,čaajusõ,čaajud,čaajujõ,čaajuit,čaajuisõ,čaajuiz,
čako,čago,čakkoa,čakkosõ,čagod,čakojõ,čakoit,čakoisõ,čakoiz,
čeeli,čeele,čeelte,čeelese,čeeled,čeelije,čeeliit,čeeliise,čeeliiz,
čello,čello,čelloa,čellosõ,čellod,čellojõ,čelloit,čelloisõ,čelloiz,
čenče,čennä,čenčä,čentsäse,čenned,čenčije,čenčiit,čenčiise,čenčiiz,
čerikko,čeriko,čerikkoa,čerikkosõ,čerikod,čerikkojõ,čerikkoit,čerikkoisõ,čerikkoiz,
česä,čezä,čessä,čessäse,čezäd,česije,česiit,česiise,česiiz,
čeväd,čevvä,čevätte,čevättese,čeväd,čevvije,čevviit,čevviise,čevviiz,
čimolain,čimolaize,čimolaissõ,čimolaissõ,čimolaizõd,čimolaisijõ,čimolaisiit,čimolaisiisõ,čimolaisiiz,
čirjavõ,čirjava,čirjava,čirjavasõ,čirjavõd,čirjavojõ,čirjavoit,čirjavoisõ,čirjavoiz,
čirjõ,čirja,čirja,čirjasõ,čirjõd,čirjojõ,čirjoit,čirjoisõ,čirjoiz,
čirkõz,čirkka,čirkassõ,čirkkasõ,čirkkad,čirkkajõ,čirkkait,čirkkaisõ,čirkkaiz,
čiutto,čiuto,čiuttoa,čiuttosõ,čiutod,čiuttojõ,čiuttoit,čiuttoisõ,čiuttoiz,
čivi,čive,čiviä,čivese,čived,čivije,čiviit,čiviise,čiviiz,
čämmel,čämmele,čämmelte,čämmeläse,čämmeled,čämmelije,čämmeliit,čämmeliise,čämmeliiz,
čärpein,čärpeize,čärpeisse,čärpeizese,čärpeized,čärpeizije,čärpeiziit,čärpeiziise,čärpeiziiz,
čäsi,čäe,čätte,čättese,čäed,čäsije,čässiit,čässiise,čässiiz,
čülme,čülmä,čülmä,čülmäse,čülmed,čülmije,čülmiit,čülmiise,čülmiiz,
čülä,čülä,čülä,čüläse,čüläd,čülije,čüliit,čüliise,čüliiz,
čümme,čümme,čümmenä,čümmenese,čümmed,čümmenije,čümmeniit,čümmeniise,čümmeniiz,
čümmenäz,čümmenettemä,čümmeneii,čümmenettemäse,čümmenettemäd,čümmenettemije,čümmenettemiit,čümmenettemiise,čümmenettemiiz,
d̕eelõ,d̕eela,d̕eela,d̕eelasõ,d̕eelõd,d̕eelojõ,d̕eeloit,d̕eeloisõ,d̕eeloiz,
d̕ivani,d̕ivani,d̕ivania,d̕ivanisõ,d̕ivanid,d̕ivanijõ,d̕ivaniit,d̕ivaniisõ,d̕ivaniiz,mida teha pl part -iit VS -oit lõppudega?
dobrõ,dobra,dobra,dobrasõ,dobrõd,dobrojõ,dobroit,dobroisõ,dobroiz,
dohtõri,dohtõri,dohtõria,dohtõrisõ,dohtõrid,dohtõrijõ,dohtõriit,dohtõriisõ,dohtõriiz,
dokumentti,dokumenti,dokumenttia,dokumenttise,dokumentid,dokumenttijõ,dokumenttiit,dokumenttiisõ,dokumenttiiz,
domovikkõ,domovika,domovikka,domovikkasõ,domovikad,domovikkojõ,domovikkoit,domovikkoisõ,domovikkoiz,
dovariššõ,dovariša,dovarišša,dovariššasõ,dovarišad,dovariššojõ,dovariššoit,dovariššoisõ,dovariššoiz,Laakso märkinud pl gen -je
durakkõ,duraka,durakka,durakkasõ,durakõd,durakkojõ,durakkoit,durakkoisõ,durakkoiz,
duumõ,duuma,duuma,duumasõ,duumõd,duumijõ,duumiit,duumiisõ,duumiiz,
dääde,däädä,däädä,däädäse,dääded,däädeje,däädeit,däädeise,däädeiz, Laakso märkinud ka tagapoolseid variante
eglin,eglize,eglisse,eglizese,eglized,eglizije,egliziit,egliziise,egliziiz, sg nom lõpp??
eine,einä,einä,einäse,eined,einije,einiit,einiise,einiiz,Laaksol on pl gen tagapoolne??
elo,elo,eloa,elosõ,elod,elojõ,eloit,eloisõ,eloiz,
emä,emä,emä,emäse,emäd,emije,emit,emise,emiz,Laaksol on pl gen tagapoolne??
enči,en̕n̕e,enčiä,enčese,en̕n̕ed,enčije,enčiit,enčiise,enčiiz,
entin,entize,entisse,entizese,entized,entizije,entiziit,entiziise,entiziiz, sg nom lõpp??
erne,erne,ernette,ernese,erned,erneje,erneit,erneise,erneiz,
esimein,esimeize,esimesse,esimeiseze,esimeized,esimeisije,esimeisiit,esimeisiise,esimeisiiz,
esimespäive,esimespäivä,esimesspäivä,esimeisepäivä,esimespäived,esimespäivije,esimespäiviit,esimespäiviise,esimespäiviiz,
fabrikantti,fabrikanti,fabrikanttia,fabrikanttisõ,fabrikantid,fabrikanttijõ,fabrikanttiit,fabrikanttiisõ,fabrikanttiiz,
fal̕šši,fal̕ši,fal̕ššia,fal̕ššisõ,fal̕šid,fal̕ššijõ,fal̕ššiit,fal̕ššiisõ,fal̕ššiiz,
famil̕,famil̕a,famil̕a,famil̕asõ,famil̕õd,familojõ,familoit,familoisõ,familoiz,
farfori,farfori,farforia,farforisõ,farforid,farforijõ,farforiit,farforiisõ,farforiiz,
fartukkõ,fartuka,fartukka,fartukkasõ,fartukõd,fartukkojõ,fartukkoit,fartukkoisõ,fartukkoiz,
fartõl,fartõla,fartõla,fartõltasõ,fartõlõd,fartõlojõ,fartõloit,fartõloisõ,fartõloiz,
fialk,fialka,fialka,fialkasõ,fialkõd,fialkojõ,fialkoit,fialkoisõ,fialkoiz,
figur,figura,figura,figurasõ,figurõd,figurojõ,figuroit,figuroisõ,figuroiz,
fiizikkõ,fiizika,fiizikka,fiizikkasõ,fiizikõd,fiizikkojõ,fiizikkoit,fiizikkoisõ,fiizikkoiz,
filmõ,filma,filma,filmasõ,filmõd,filmojõ,filmoit,filmoisõ,filmoiz,
flakku,flaku,flakkua,flakkusõ,flakud,flakkujõ,flakkuit,flakkuisõ,flakkuiz,
flaneli,flaneli,flanelia,flanelisõ,flanelid,flanelijõ,flaneliit,flaneliisõ,flaneliiz,
fookusnik,fookusnika,fookusnikka,fookusnikkasõ,fookusnikad,fookusnikkojõ,fookusnikkoit,fookusnikkoisõ,fookusnikkoiz,
formõ,forma,forma,formasõ,formõd,formijõ,formiit,formiisõ,formiiz,
fortočk,fortočka,fortočka,fortočkasõ,fortočkõd,fortočkojõ,fortočkoit,fortočkoisõ,fortočkoiz,
fotokartočka,fotokartočka,fotokartočka,fotokartočkasõ,fotokartočkad,fotokartočkajõ,fotokartočkoit,fotokartočkoisõ,fotokartočkoiz,
fraak,fraaki,fraakkia,fraakki,fraakid,fraakkijõ,fraakkiit,fraakkiisõ,fraakkiiz,
Franttsi,Frantsi,Franttsia,Franttsisõ,Frantsid,Franttsijõ,Franttsiit,Franttsiisõ,Franttsiiz,
frikad̕el̕k,frikad̕el̕ka,frikad̕el̕ka,frikad̕el̕kasõ,frikad̕el̕kid,frikad̕el̕kojõ,frikad̕el̕koit,frikad̕el̕koisõ,frikad̕el̕koiz,
frištikkõ,frištika,frištikka,frištikkasõ,frištikõd,frištikkojõ,frištikkoit,frištikkoisõ,frištikkoiz,
fundamentti,fundamenti,fundamenttia,fundamentti,fundamentid,fundamenttijõ,fundamenttit,fundamenttisõ,fundamenttiz,
fökle,föklä,föklä,fökläse,fökled,föklije,fökliit,fökliise,fökliiz,
gaazapliittõ,gaazapliita,gaazapliitta,gaazapliittasõ,gaazapliitad,gaazapliittajõ,gaazapliitoit,gaazapliitoisõ,gaazapliitoiz,
galstukki,galstuki,galstukkia,galstukkisõ,galstukid,galstukkijõ,galstukkiit,galstukkiisõ,galstukkiiz,
gimnazi,gimnazi,gimnazia,gimnazisõ,gimnazid,gimnazijõ,gimnaziit,gimnaziisõ,gimnaziiz,
gitari,gitrai,gitaria,gitarisõ,gitarid,gitarijõ,gitariit,gitariisõ,gitariiz,
glaizõ,glaiza,glaiza,glaizasõ,glaizõd,glaizojõ,glaizoit,glaizoisõ,glaizoiz,
glazi,glazi,glazia,glazisõ,glazid,glazijõ,glaziit,glaziisõ,glaziiz,
golod,goloda,goloda,golodasõ,golodõd,golodojõ,golodoit,golodoisõ,golodoiz,Laakso märkinud sg ill -se
grammõ,gramma,gramma,grammasõ,grammõd,grammojõ,grammoit,grammoisõ,grammoiz,
grana,grana,grana,granasõ,granad,granojõ,granoit,granoisõ,granoiz,
greebeni,greebeni,greebeniä,greebenise,greebenid,greebenije,greebeniit,greebeniise,greebeniiz,
greekklain,greekklaizõ,greekklaissõ,greekklaisõ,greekklaizõd,greekklaisijõ,greekklaisiit,greekklaisiisõ,greekklaisiiz,
greettsin,greettsina,greettsina,greettsinasõ,greettsinõd,greettsinojõ,greettsinoit,greettsinoisõ,greettsinoiz,
griba,griba,griba,gribasõ,gribad,gribojõ,griboit,griboisõ,griboiz,
gribanikka,gribanika,gribanikka,gribanikkasõ,gribanikad,gribanikkojõ,gribanikkoit,gribanikkoisõ,gribanikkoiz,
gribavihmõ,gribavihma,gribavihma,gribavihmasõ,gribavihmõd,gribavihmojõ,gribavihmoit,gribavihmoisõ,gribavihmoiz,
gupk,gupka,gupka,gupkasõ,gupkõd,gupkojõ,gupkoit,gupkoisõ,gupkoiz,Laakso märkinud ka -i- (ilma -oi-) variandid
haadu,haadu,haadua,haadusõ,haadud,haadujõ,haaduit,haaduisõ,haaduiz,
haili,haili,hailia,hailisõ,hailid,hailijõ,hailiit,hailiisõ,hailiiz,oma rekonstr ̕glazi̕ järgi
haisu,haizu,haisua,haisusõ,haizud,haisujõ,haisuit,haisuisõ,haisuiz,
hammõz,hampa,hammassõ,hampasõ,hampad,hampajõ,hampait,hampaisõ,hampaiz, nagu lammõz
hapo,hapo,happoa,happosõ,hapod,happojõ,happoit,happoisõ,happoiz,
harakkõ,haraka,harakka,harakkasõ,harakõd,harakkojõ,harakkoit,harakkoisõ,harakkoiz,
harma,harma,harmatõ,harmasõ,harmad,harmojõ,harmoit,harmoisõ,harmoiz,
hattu,hatu,hattua,hattusõ,hatud,hattujõ,hattuit,hattuisõ,hattuiz,
hatukkõin,hatukkõizõ,hatukkõissõ,hatukkõizõsõ,hatukkõizõd,hatukkõisijõ,hatukkõisiit,hatukkõisiisõ,hatukkõisiiz,
heeno,heeno,heenoa,heenosõ,heenod,heenojõ,heenoit,heenoisõ,heenoiz,
helsengi,helsengi,helsengiä,helsengise,helsengid,helsengije,helsengiit,helsengiise,helsengiiz,
herkku,herku,herkkua,herkkusõ,herkud,herkkujõ,herkkuit,herkkuisõ,herkkuiz,
hlaamu,hlaamu,hlaamua,hlaamusõ,hlaamud,hlaamujõ,hlaamuit,hlaamuisõ,hlaamuiz,
hoikkõ,hoika,hoikka,hoikkasõ,hoikõd,hoikkijõ,hoikkiit,hoikkiisõ,hoikkiiz,
hooli,hoolõ,hooltõ,hoolõsõ,hoolõd,hoolijõ,hooliit,hooliisõ,hooliiz,
hoolitoi,hoolitoi,hoolitoit,hoolitoisõ,hoolitoid,hoolitojõ,hoolitoit,hoolitoisõ,hoolitoiz,
häülütüs,häülütüse,häülütüsse,häülütüssee,häülütüsed,häülütüssije,häülütüssiit,häülütüssiise,häülütüssiiz,
hüppü,hüpü,hüppüa,hüppüse,hüpüd,hüppüje,hüppüit,hüppüise,hüppüiz,
ičä,iä,iččä,iččäse,iäd,ičije,ičiit,ičiise,ičiiz,
ičäv,ičävä,ičävä,ičäväse,ičäved,ičävije,ičäviit,ičäviise,ičäviiz,
iiri,iire,iirte,iirese,iired,iirije,iiriit,iiriise,iiriiz,
iirikkõin,iirikkõizõ,iirikkõissõ,iirikkõisõ,iirikkõizõd,iirikkõisijõ,iirikkõisiit,iirikkõisiisõ,iirikkõisiiz,
iivõ,iiva,iiva,iivasõ,iivõd,iivojõ,iivoit,iivoisõ,iivoiz,
ikolookkõ,ikolooka,ikolookka,ikolookkasõ,ikolookõd,ikolookkijõ,ikolookkiit,ikolookkiisõ,ikolookkiiz,
il̕l̕õkkõin,il̕l̕õkkõizõ,il̕l̕õkkõissõ,il̕l̕õkkõisõ,il̕l̕õkkõizõd,il̕l̕õkkõisijõ,il̕l̕õkkõisiit,il̕l̕õkkõisiisõ,il̕l̕õkkõisiiz,
ilka,ilka,ilkat,ilkasõ,ilkad,ilkajõ,ilkait,ilkaisõ,ilkaiz,
ilmõ,ilma,ilma,ilmasõ,ilmõd,ilmijõ,ilmiit,ilmiisõ,ilmiiz,
ilo,ilo,iloa,ilosõ,ilod,ilojõ,iloit,iloisõ,iloiz,
iloin,iloisõ,iloissõ,iloizõsõ,iloizõd,iloizijõ,iloisiit,iloisiisõ,iloisiiz,
inimin,inimize,inimisse,inimizese,inimized,inimisije,inimisiit,inimisiise,inimisiiz,TODO mujal ka ühtlustada sg part ja sg ill (-isse:-izese)
inostrantts,inostrantsa,inostranttsa,inostranttsasõ,inostrantsõd,inostranttsojõ,inostranttsoit,inostranttsoisõ,inostranttsoiz,
inspektori,inspektori,inspektoria,inspektorisõ,inspektorid,inspektorijõ,inspektoriit,inspektoriisõ,inspektoriiz,
invaliid,invaliida,invaliida,invaliidasõ,invaliidõd,invaliidojõ,invaliidoit,invaliidoisõ,invaliidoiz,
irvi,irve,irviä,irvese,irved,irvije,irviit,irviise,irviiz,
irvieine,irvieinä,irvieinä,irvieinäse,irvieined,irvieinije,irvieiniit,irvieiniise,irvieiniiz,
ižora,ižora,ižora,ižorasõ,ižorad,ižorijõ,ižoriit,ižoriisõ,ižoriiz,
itikkõ,itika,itikka,itikkase,itikõd,itikkojõ,itikkoit,itikkoisõ,itikkoiz,
itku,idgu,itkua,itkusõ,idgud,itkujõ,itkuit,itkuisõ,itkuiz,
itkuri,itkuri,itkuria,itkurisõ,itkurid,itkurijõ,itkuriit,itkuriisõ,itkuriiz,
ivusõd,ivussijõ,ivussiit,ivussisõ,ivusõd,ivussijõ,ivussiit,ivussiisõ,ivussiiz,
ivuz,ivusõ,ivussõ,ivussõ,ivusõd,ivussijõ,ivussiit,ivussiisõ,ivussiiz,
jaani,jaani,jaania,jaanisõ,jaanid,jaanijõ,jaaniit,jaaniisõ,jaaniiz,
jaanikukkõ,jaanikuka,jaanikukka,jaanikukkasõ,jaanikukad,jaanikukkijõ,jaanikukkiit,jaanikukkiisõ,jaanikukkiiz,
jalgõz,jalgõsõ,jalgõssõ,jalgõssõ,jalgõsõd,jalgõssijõ,jalgõssiit,jalgõssiisõ,jalgõssiiz,
jalkõ,jalga,jalka,jalkasõ,jalgõd,jalkojõ,jalkoit,jalkoisõ,jalkoiz,
javo,javo,javoa,javosõ,javod,javojõ,javoit,javoisõ,javoiz,
jevi,jevi,jeviä,jevise,jevid,jevije,jeviit,jeviise,jeviiz,
jevikõz,jevikka,jevikõssõ,jevikkasõ,jevikkad,jevikkajõ,jevikkait,jevikkaisõ,jevikkaiz,TODO kas kõik -kõz on pl nom tugevas astmes?
joožikkõ,joožika,joožikka,joožikkasõ,joožikõd,joožikkijõ,joožikoit,joožikoisõ,joožikoiz,
jumalõ,jumala,jumala,jumalasõ,jumalõd,jumalojõ,jumaloit,jumaloisõ,jumaloiz,
jumõ,jumõ,jumõttõ,jumõsõ,jumõd,jumijõ,jumiit,jumiisõ,jumiiz,
jupkõ,jubga,jupka,jupkasõ,jubgõd,jupkijõ,jupkiit,jupkiisõ,jupkiiz, Laaksol ka -oi- variant märgitud
jurmõ,jurma,jurma,jurmasõ,jurmõd,jurmojõ,jurmoit,jurmoisõ,jurmoiz,
juttu,jutu,juttua,juttusõ,jutud,juttujõ,juttuit,juttuisõ,juttuiz,
juuri,juurõ,juurt,juurtõsõ,juurõd,juurijõ,juuriit,juuriisõ,juuriiz,
jõkain,jõkaizõ,jõkaissõ,jokaizõsõ,jokaizõd,jokaisijõ,jokaisiit,jokaisiisõ,jokaisiiz,
jõki,jõgõ,jõkkia,jõkkõsõ,jõgõd,jõkkijõ,jõkkiit,jõkkiisõ,jõkkiiz,
jõkilikko,jõkiliko,jõkilikko,jõkilikkosõ,jõkilikod,jõkilikkojõ,jõkilikkoit,jõkilikkoisõ,jõkilikkoiz,
jõulu,jõulu,jõulua,jõulusõ,jõulud,jõulujõ,jõuluit,jõuluisõ,jõuluiz,
jõutu,jõvvu,jõutua,jõutusõ,jõvvud,jõutujõ,jõutuit,jõutuisõ,jõutuiz,
jäin,jäize,jäisse,jäizese,jäized,jäisije,jäisiit,jäisiise,jäisiiz,
jälči,jälle,jälčiä,jälčese,jälled,jälčije,jälčiit,jälčiise,jälčiiz,
jämiä,jämiä,jämiät,jämiäse,jämiäd,jämije,jämiit,jämiise,jämiiz,nagu peh̕miä
jänez,jänese,jänesse,jänesse,jänesed,jänessije,jänessiit,jänessiise,jänessiiz,
järčü,järjü,järčüa,järčüse,järjüd,järčüje,järčüit,järčüise,järčüiz,
järvi,järve,järviä,järvese,järved,järvije,järviit,järviise,järviiz,
jürü,jürü,jürüä,jürüse,jürüd,jürüje,jürüit,jürüise,jürüiz,
kaamenšikka,kaamenšika,kaamenšikka,kaamenšikkasõ,kaamenšikad,kaamenšikkojõ,kaamenšikkoit,kaamenšikkoisõ,kaamenšikkoiz,
kaani,kaani,kaant,kaanõsõ,kaanõd,kaanijõ,kaaniit,kaaniisõ,kaaniiz,
kaappi,kaapi,kaappia,kaappisõ,kaapid,kaappijõ,kaappiit,kaappiisõ,kaappiiz,
kaask,kaazga,kaaska,kaazkasõ,kaazgõd,kaaskoje,kaaskoit,kaaskoisõ,kaaskoiz,
