sg nom,sg gen,sg part,sg ill,pl nom,pl gen,pl part,pl ill,pl ine,kommentaar
kaatsõd,kaattsojõ,kaattsoit,kaattsoisõ,kaatsõd,kaatsojõ,kaattsoit,kaattsoisõ,kaattsoiz,TODO plurale tantum üldistada mujale ka
kabakkõ,kabaka,kabakka,kabakkasõ,kabakõd,kabakkojõ,kabakkoit,kabakkoisõ,kabakkoiz,
kaban,kabana,kabana,kabanasõ,kabanad,kabanojõ,kabanoit,kabanoisõ,kabanoiz,
kabjõ,kabja,kaba,kabjasõ,kabjõd,jabjojõ,kabjoit,kabjoisõ,kabjoiz,
kagluz,kaglusõ,kaglussõ,kaglussõ,kaglusõd,kaglussijõ,kaglussiit,kaglussiisõ,kaglussiiz,
kaglõ,kagla,kagla,kaglasõ,kaglõd,kaglojõ,kagloit,kagloisõ,kagloiz,
kagrõ,kagra,kagra,kagrasõ,kagrõd,kagrojõ,kagroit,kagroisõ,kagroiz,
kahs,kahõ,kaht,kahtõ,kahõd,kahsijõ,kahsiit,kahsiisõ,kahsiiz,TODO lisada teised numbrid ka
kahu,kahu,kahua,kahusõ,kahud,kahujõ,kahuit,kahuisõ,kahuiz,
kahõsa,kahõssõmõ,kahõssõma,kahõssõmasõ,kahõssõmad,kahõssõmijõ,kahõssõmiit,kahõssõmiisõ,kahõssõmiiz,kuidas? nagu kuuvvaiz
kajagõ,kajaga,kajaga,kajagasõ,kajagõd,kajagojõ,kajagoit,kajagoisõ,kajagoiz,
kajutti,kajuti,kajuttia,kajuttisõ,kajutid,kajuttijõ,kajuttiit,kajuttiisõ,kajuttiiz,
kakko,kako,kakkoa,kakkosõ,kakod,kakkojõ,kakkoit,kakkoisõ,kakkoiz,
kakku,kaku,kakkua,kakkusõ,kakud,kakkujõ,kakkuit,kakkuisõ,kakkuiz,
kal̕indora,kal̕indora,kal̕indora,kal̕indorasõ,kal̕indorad,kal̕indorõjõ,kal̕indorõit,kal̕indorõisõ,kal̕indorõiz,
kala,kala,kala,kalasõ,kalad,kalojõ,kaloit,kaloisõ,kaloiz,
kalliz,kalli,kallissõ,kallisõ,kallid,kallejõ,kalleit,kalleisõ,kalleiz,TODO pl part tüvevokaal?
kalmo,kalmo,kalmoa,kalmosõ,kalmod,kalmojõ,kalmoit,kalmoisõ,kalmoiz,
kalttõin,kalttõizõ,kalttõiss,kalttõizõsõ,kalttõizõd,kalttõizijõ,kalttõiziit,kalttõiziisõ,kalttõiziiz,
kamal,kamala,kamala,kamalasõ,kamalõd,kamalojõ,kamaloit,kamaloisõ,kamaloiz,
kamal̕ikka,kamal̕ika,kamal̕ikka,kamal̕ikkasõ,kamal̕ikõd,kamal̕ikkojõ,kamal̕ikkoit,kamal̕ikkoisõ,kamal̕ikkoiz,TODO -lik üldistada mujalt?
kambõlõ,kambõla,kambõla,kambõlasõ,kambõlõd,kambõlojõ,kambõloit,kambõloisõ,kambõloiz,
kametti,kameti,kamettia,kamettisõ,kametid,kamettijõ,kamettiit,kamettiisõ,kamettiiz,
kamin,kamina,kamina,kaminasõ,kaminõd,kaminojõ,kaminoit,kaminoisõ,kaminoiz,
kammõri,kammõri,kammõria,kammõrisõ,kammõrid,kammõrijõ,kammõriit,kammõriisõ,kammõriiz,
kana,kana,kana,kanasõ,kanad,kanojõ,kanoit,kanoisõ,kanoiz,
kanal,kanala,kanala,kanalasõ,kanalõd,kanalojõ,kanaloit,kanaloisõ,kanaloiz,
kanavõ,kanava,kanava,kanavasõ,kanavõd,kanavojõ,kanavoit,kanavoisõ,kanavoiz,
kand̕idaat,kand̕idaata,kand̕idaatta,kand̕idaattasõ,kand̕idaatõd,kand̕idaattojõ,kand̕idaattoit,kand̕idaattoisõ,kand̕idaattoiz,
kanfetti,kanfeti,kanfettia,kanfettisõ,kanfetid,kanfettijõ,kanfettiit,kanfettiisõ,kanfettiiz,
kangõz,kanka,kangõssõ,kankasõ,kankad,kankajõ,kankait,kankaisõ,kankaiz,
kanka,kanka,kankat,kankasõ,kankad,kankajõ,kankait,kankaisõ,kankaiz,
kanki,kangõ,kankia,kankõ,kangõd,kankijõ,kankiit,kankiisõ,kankiiz,
kannõl,kannõlõ,kannõlt,kannõlasõ,kannõlõd,kannõlijõ,kannõliit,kannõliisõ,kannõliiz,TODO vaata üle a-õ
kant,kanna,kanta,kantasõ,kannõd,kantojõ,kantoit,kantoisõ,kantoiz,
kanto,kanno,kantoa,kantosõ,kannod,kantojõ,kantoit,kantoisõ,kantoiz,TODO vaata üle tüvevokaal (vrd kant:kanna sõna oma)
kapussõ,kapusa,kapussa,kapussasõ,kapusõd,kapussojõ,kapussoit,kapussoisõ,kapussoiz,
karjušši,karjuši,karjuššia,karjuššisõ,karjušid,karjuššijõ,karjuššiit,karjuššiisõ,karjuššiiz,
karjõ,karja,karja,karjasõ,karjõd,jarjojõ,karjoit,karjoisõ,karjoiz,
karu,karu,karua,karusõ,karud,karujõ,karuit,karuisõ,karuiz,
kassõ,kassa,kassa,kassasõ,kassõd,kassojõ,kassoit,kassoisõ,kassoiz,
kasõ,kassõ,kasõttõ,kassõsõ,kassõd,kassõjõ,kassõit,kassõisõ,kassõiz,
katagõ,kataga,kataga,katagasõ,katagõd,katagojõ,katagoit,katagoisõ,katagoiz,
katol̕ikk,katol̕ika,katol̕ikka,katol̕ikkasõ,katol̕ikad,katol̕ikkojõ,katol̕ikkoit,katol̕ikkoisõ,katol̕ikkoiz,
katti,kati,kattia,kattisõ,katid,kattijõ,kattiit,kattiisõ,kattiiz,
katto,kato,kattoa,kattosõ,katod,kattojõ,kattoit,kattoisõ,kattoiz,
katõ,kattõ,katõttõ,kattõsõ,kattõd,kattõjõ,kattõit,kattõisõ,kattõiz,
kauniz,kaune,kaunissõ,kaunese,kauned,kaunejõ,kauneit,kauneisõ,kauneiz,
kauppõ,kaupa,kauppa,kauppasõ,kaupõd,kauppojõ,kauppoit,kauppoisõ,kauppoiz,
kavalõ,kavala,kavala,kavalasõ,kavalõd,kavalojõ,kavaloit,kavaloisõ,kavaloiz,
kavoluz,kavalusõ,kavalussõ,kavalussõ,kavalusõd,kavalussijõ,kavalussiit,kavalussiisõ,kavalussiiz,
kaõ,kaõ,kaõttõ,kaõsõ,kaõd,kaõjõ,kaõit,kaõisõ,kaõiz,
kehno,kehno,kehnoa,kehnosõ,kehnod,kehnojõ,kehnoit,kehnoisõ,kehnoiz,
kehnokkõin,kehnokkõizõ,kehnokkõissõ,kehnokkõisõ,kehnokkõizõd,kehnokkijõ,kehnokkõit,kehnokkõisõ,kehnokkõiz,TODO õ muutub -ijõ pl gen
kelkk,kelka,kelkka,kelkkasõ,kelkõd,kelkkojõ,kelkkoit,kelkkoisõ,kelkkoiz,
kerkä,kerkä,kerkät,kerkäse,kerkäd,kerkije,kerkiit,kerkiise,kerkiiz,
keskolin,keskolizõ,keskolissõ,keskolizõsõ,keskolizõd,keskolisijõ,keskoliziit,keskoliziisõ,keskoliziiz,
kiikeri,kiikeri,kiikeriä,kiikerise,kiikerid,kiikerije,kiikeriit,kiikeriise,kiikeriiz,
kiikku,kiiku,kiikkua,kiikkusõ,kiikud,kiikkujõ,kiikkuit,kiikkuisõ,kiikkuiz,
kiisseli,kiisseli,kiisseliä,kiisselise,kiisselid,kiisselije,kiisseliit,kiisseliise,kiisseliiz,
kippu,kipu,kippua,kippusõ,kipud,kippujõ,kippuit,kippuisõ,kippuiz,
kipun,kipuna,kipuna,kipunasõ,kipunõd,kipunojõ,kipunoit,kipunoisõ,kipunoiz,
kirstu,kirstu,kirstua,kirstusõ,kirstud,kirstujõ,kirstuit,kirstuisõ,kirstuiz,
kitai,kitaja,kitaja,kitajasõ,kitajad,kitajojõ,kitajoit,kitajoisõ,kitajoiz,
kittsi,kitsi,kittsiä,kittsise,kitsid,kittsije,kittsiit,kittsiise,kittsiiz,
klaass,klaasa,klaassa,klaassasõ,klaasõd,klaassojõ,klaassoit,klaassoisõ,klaassoiz,
kluub,kluuba,kluuba,kluubasõ,kluubõd,kluubojõ,kluuboit,kluuboisõ,kluuboiz,
koffi,kofi,koffia,koffisõ,kofid,koffijõ,koffiit,koffiisõ,koffiiz,mida teha lühikese illatiiviga kui see on ainus antud vorm?
kohin,kohina,kohina,kohinasõ,kohinõd,kohinojõ,kohinoit,kohinoisõ,kohinoiz,
koi,koi,koit,koisõ,koid,koijõ,koit,koisõ,koiz,
koirõ,koira,koira,koirasõ,koirõd,koirijõ,koiriit,koiriisõ,koiriiz,
koivu,koivu,koivua,koivusõ,koivud,koivujõ,koivuit,koivuisõ,koivuiz,
koivuin,koivuizõ,koivuissõ,koivuizõsõ,koivuizõd,koivuizijõ,koivuiziit,koivuiziisõ,koivuiziiz,
kokki,koki,kokkia,kokkisõ,kokid,kokkijõ,kokkiit,kokkiisõ,kokkiiz,
kolaus,kolausõ,kolaussõ,kolaussõ,kolausõd,kolaussijõ,kolaussiit,kolaussiisõ,kolaussiiz,
kolkki,kolki,kolkkia,kolkkisõ,kolkid,kolkkijõ,kolkkiit,kolkkiisõ,kolkkiiz,
kolkku,kolku,kolkkua,kolkkusõ,kolkud,kolkkujõ,kolkkuit,kolkkuisõ,kolkkuiz,
kolkkõ,kolka,kolkka,kolkkasõ,kolkõd,kolkkijõ,kolkkiit,kolkkiisõ,kolkkiiz,
komett,kometi,komettia,kometti,kometid,komettijõ,komettiit,komettiisõ,komettiiz,
komferenttsi,komferentsi,komferenttsiä,komferenttsi,komferentsid,komferenttsije,komferenttsiit,komferenttsiise,komferenttsiiz,
komfetti,komfeti,komfettia,komfetti,kmfetid,komfettijõ,komfettiit,komfettiisõ,komfettiiz,
komissi,komisi,komissia,komissisõ,komisid,komissijõ,komissiit,komissiisõ,komissiiz,
komit̕et,komit̕eti,komit̕ettiä,komit̕etti,komit̕etid,komit̕ettije,komit̕ettiit,komit̕ettiise,komit̕ettiiz,
komnõtti,komnõti,komnõttia,komnõttisõ,komnõtid,komnõttijõ,komnõttiit,komnõttiisõ,komnõttiiz,
kompjutera,kompjutera,kompjutera,kompjuterasõ,kompjuterad,kompjuterijõ,kompjuteriit,kompjuteriisõ,kompjuteriiz,
kon̕jõkkõ,kon̕jõka,kon̕jõkka,kon̕jõkkasõ,kon̕jõkad,kon̕jõkkijõ,kon̕jõkkiit,kon̕jõkkiisõ,kon̕jõkkiiz,
kongressi,kongressi,kongressia,kongressi,kongressid,kongressijõ,kongressiit,kongressiisõ,kongressiiz,
konno,konno,konnoa,konnosõ,konnod,konnojõ,konnoit,konnoisõ,konnoiz,
konnõ,konna,konna,konnasõ,konnõd,konnijõ,konniit,konniisõ,konniiz,
koollud,koollõ,koolluttõ,koollõsõ,koollõd,koollujõ,koolluit,koolluisõ,koolluiz,
koomikk,koomika,koomikka,koomikkasõ,koomikõd,koomikkojõ,koomikkoit,koomikkoisõ,koomikkoiz,
koori,koore,kooria,kooresõ,koorõd,koorijõ,kooriit,kooriisõ,kooriiz,
koorrõ,koorrõ,koorrõt,koortõsõ,koorrõd,koortõjõ,koortõit,koortõisõ,koortõiz,
kopekkõ,kopeka,kopekka,kopekkasõ,kopekõd,kopekkojõ,kopekkoit,kopekkoisõ,kopekkoiz,
kotko,kodgo,kotkoa,kotkosõ,kodgod,kotkojõ,kotkoit,kotkoisõ,kotkoiz,
koto,koo,kottoa,kottosõ,kood,kotojõ,kotoit,kotoisõ,kotoiz,
kraaskõ,kraazga,kraaska,kraaskasõ,kraazgõd,kraaskojõ,kraaskoit,kraaskoisõ,kraaskoiz,
krõškõ,krõzga,krõška,krõškasõ,krõzgõd,krõškijõ,krõškiit,krõškiisõ,krõškiiz,-i-mitmused nagu ̕poikõ̕
kuha,kuha,kuhha,kuhhasõ,kuhõd,kuhhijõ,kuhhiit,kuhhiisõ,kuhhiiz,ka sg ill tugeva vormi põhjal?
kuhjõ,kuhja,kuhja,kuhjasõ,kuhjõd,kuhjijõ,kuhjiit,kuhjiisõ,kuhjiiz,
kuhni,kuhni,kuhnia,kuhnisõ,kuhnid,kuhnijõ,kuhniit,kuhniisõ,kuhniiz,
kuivõ,kuiva,kuiva,kuivasõ,kuivõd,kuivijõ,kuiviit,kuiviisõ,kuiviiz,
kuja,kuja,kuja,kujasõ,kujad,kujijõ,kujiit,kujiisõ,kujiiz,
kukko,kuko,kukkoa,kukkosõ,kukod,kukkojõ,kukkoit,kukkoisõ,kukkoiz,
kukkõ,kuka,kukka,kukkasõ,kukad,kukkijõ,kukkiit,kukkiisõ,kukkiiz,
kult,kulla,kulta,kultasõ,kullõd,kultõjõ,kultõit,kultõisõ,kultõiz,
kultõin,kultõizõ,kultõissõ,kultõizõsõ,kultõizõd,kultõizijõ,kultõiziit,kultõiziisõ,kultõiziiz,
kummõ,kumma,kumma,kummasõ,kummõd,kummijõ,kummiit,kummiisõ,kummiiz,
kumpõ,kumma,kumpa,kumpasõ,kummõd,kumpijõ,kumpit,kumpisõ,kumpiz,
kurki,kurgõ,kurkia,kurkõsõ,kurgõd,kurkijõ,kurkiit,kurkiisõ,kurkiiz,
kurkku,kurku,kurkkua,kurkkusõ,kurkud,kurkkujõ,kurkuit,kurkuisõ,kurkuiz,
kurp,kurva,kurpa,kurpasõ,kurvõd,kurpijõ,kurpiit,kurpiisõ,kurpiiz,
kursi,kurzi,kursia,kursisõ,kurzid,kursijõ,kursiit,kursiisõ,kursiiz,
kusi,kuzõ,kussõ,kussõ,kuzõd,kussijõ,kussiit,kussiisõ,kussiiz,
kuto,kuttõ,kuõtt,kuttõ,kuttõd,kuttõjõ,kuttõit,kuttõisõ,kuttõiz,
kuttsu,kutsu,kuttsua,kuttsu,kutsud,kuttsujõ,kuttsuit,kuttsuisõ,kuttsuiz,
kuu,kuu,kuut,kuusõ,kuud,kuijõ,kuit,kuisõ,kuiz,nagu luu
kuuluvõ,kuuluva,kuuluva,kuuluvasõ,kuuluvõd,kuuluvijõ,kuuluviit,kuuluviisõ,kuuluviiz,
kuus,kuuvvõ,kuuttõ,kuuvvõsõ,kuuvvõd,kuusiijõ,kuusiit,kuusiisõ,kuusiiz,nagu uusi
kuusi,kuuzõ,kuussõ,kuussisõ,kuuzõd,kuusijõ,kuusiit,kuusiisõ,kuusiiz,
kuuzikko,kuuziko,kuuzikkoa,kuuzikko,kuuzikod,kuuzikkojõ,kuuzikkoit,kuuzikkoisõ,kuuzikkoiz,
kuuvvaiz,kuuvvõttõma,kuuvvõt,kuuvvõttõmasõ,kuuvvõttõmad,kuuvvõttõmijõ,kuuvvõttõmiit,kuuvvõttõmiisõ,kuuvvõttõmiiz,
kuõ,kuttõ,kuõttõ,kuttõsõ,kuttõd,kuttõjõ,kuttõit,kuttõisõ,kuttõiz,pole märgitud pl nom vorm ̕kuõd̕
kvartirõ,kvartira,kvartira,kvartirasõ,kvartirõd,kvartirojõ,kvartiroit,kvartiroisõ,kvartiroiz,sg nom -õ?
kõik,kõika,kõikka,kõikkasõ,kõikõd,kõikkijõ,kõikkiit,kõikkiisõ,kõikkiiz,
kõikõllain,kõikõllaizõ,kõikõllaissõ,kõikõllaisõ,kõikõllaizõd,kõikõllaisijõ,kõikõllaisiit,kõikõllaisiisõ,kõikõllaisiiz,
kõlmaz,kõlmõttõma,kõlmaissõ,kõlmõttõmasõ,kõlmõttõmad,kõlmõttõmijõ,kõlmõttõmiit,kõlmõttõmiisõ,kõlmõttõmiiz,
kõlmõd,kõlmõ,kõlma,kõlmõsõ,kõlmõd,kõlmijõ,kõlmiit,kõlmiisõ,kõlmiiz,
kõltõin,kõltõizõ,kõltõissõ,kõltõizõsõ,kõltõizõd,kõltõizijõ,kõltõiziit,kõltõiziisõ,kõltõiziiz,TODO vaata üle zijõ:sijõ ja iziit:isiit
kõrka,kõrka,kõrkat,kõrkasõ,kõrkad,kõrkijõ,kõrkiit,kõrkiisõ,kõrkiiz,ka -ai- mitmusega
kõrtõ,kõrra,kõrta,kõrtasõ,kõrrõd,kõrtojõ,kõrtoit,kõrtoisõ,kõrtoiz,
kõrvõ,kõrva,kõrva,kõrvasõ,kõrvõd,kõrvijõ,kõrviit,kõrviisõ,kõrviiz,
kõrvõlin,kõrvõlizõ,kõrvõlissõ,kõrvõlizõsõ,kõrvõlizõd,kõrvõlisijõ,kõrvõlisiit,kõrvõlisiisõ,kõrvõlisiiz,
kõva,kõva,kõvat,kõvasõ,kõvad,kõvijõ,kõviit,kõviisõ,kõviiz,
köühä,köühä,köühä,köühäse,köühed,köühije,köühiit,köühiise,köühiiz,
l̕ihoratk,l̕ihoratka,l̕ihoratka,l̕ihoratkasõ,l̕ihoratkõd,l̕ihoratkojõ,l̕ihoratkoit,l̕ihoratkoisõ,l̕ihoratkoiz,
l̕iitkõ,l̕iidga,l̕iitka,l̕iitkasõ,l̕iidõd,l̕iikojõ,l̕iitkoit,l̕iitkoisõ,l̕iitkoiz,
l̕innõz,l̕innõsõ,l̕innõssõ,l̕innõssõ,l̕innõsõd,l̕innõssijõ,l̕innõssiit,l̕innõssiisõ,l̕innõssiiz,
l̕istõ,l̕ista,l̕ista,l̕istasõ,l̕istõd,l̕istojõ,l̕istoit,l̕istoisõ,l̕istoiz,
laatko,laadgo,laatkoa,laatkosõ,laadgod,laatkojõ,laatkoit,laatkoisõ,laatkoiz,
laatto,laato,laattoa,laattosõ,laatod,laattojõ,laattoit,laattoisõ,laattoiz,
lad̕d̕uz,lad̕d̕usõ,lad̕d̕ussõ,lad̕d̕ussõ,lad̕d̕usõd,lad̕d̕ussijõ,lad̕d̕ussiit,lad̕d̕ussiisõ,lad̕d̕ussiiz,ühtlustada sg nom -uz (mitte -us)
lad̕d̕õ,lad̕d̕a,lad̕d̕a,lad̕d̕asõ,lad̕d̕õd,lad̕d̕ojõ,lad̕d̕oit,lad̕d̕oisõ,lad̕d̕oiz,
ladvõ,ladva,ladva,ladvasõ,ladvõd,ladvojõ,ladvoit,ladvoisõ,ladvoiz,
lafkõ,lafka,lafka,lafkasõ,lafkõd,lafkojõ,lafkoit,lafkoisõ,lafkoiz,
lahjõ,lahja,lahja,lahjasõ,lahjõd,lahjojõ,lahjoit,lahjoisõ,lahjoiz,
lahnõ,lahna,lahna,lahnasõ,lahnõd,lahnojõ,lahnoit,lahnoisõ,lahnoiz,
lahsi,lahzõ,lassõ,lahsõsõ,lahzõd,lahsijõ,lahsiit,lahsiisõ,lahsiiz,
lahti,lahe,lahtia,lahtõ,lahõd,lahtijõ,lahtiit,lahtiisõ,lahtiiz,
lainõ,laina,laina,lainasõ,lainõd,lainojõ,lainoit,lainoisõ,lainoiz,
laiskõ,laizga,laiska,laiskasõ,laizgõd,laiskojõ,laiskoit,laiskoisõ,laiskoiz,
laivõ,laiva,laiva,laivasõ,laivõd,laivojõ,laivoit,laivoisõ,laivoiz,
laki,lagõ,lakkia,lakkõ,lagõd,lakijõ,lakiit,lakiisõ,lakiiz,
lako,lago,lakkoa,lakkosõ,lagod,lakojõ,lakoit,lakoisõ,lakoiz,
lammõz,lampa,lammassõ,lampasõ,lampad,lampajõ,lampait,lampaisõ,lampaiz,
lamppi,lampi,lamppia,lamppisõ,lampid,lamppijõ,lamppiit,lamppiisõ,lamppiiz,
lanttu,lantu,lanttua,lanttusõ,lantud,lanttujõ,lanttuit,lanttuisõ,lanttuiz,
latikkõ,latika,latikka,latikkasõ,latikõd,latikkojõ,latikkoit,latikkoisõ,latikkoiz,
latõšši,latõši,latõššia,latõššisõ,latõšid,latõššijõ,latõššiit,latõššiisõ,latõššiiz,
laulu,laulu,laulua,laulusõ,laulud,laulujõ,lauluit,lauluisõ,lauluiz,
lauto,lauto,lautot,lautosõ,lautod,lautojõ,lautoit,lautoisõ,lautoiz,
lautti,lauti,lauttia,lauttisõ,lautid,lauttijõ,lauttiit,lauttiisõ,lauttiiz,
lauttõ,lauta,lautta,lauttasõ,lautõd,lauttojõ,lauttoit,lauttoisõ,lauttoiz,
lautõ,lavva,lauta,lautasõ,lavvõd,lautojõ,lautoit,lautoisõ,lautoiz,
leemi,leeme,leemiä,leemese,leemed,leemije,leemiit,leemiise,leemiiz,
lehme,lehmä,lehmä,lehmäse,lehmed,lehmije,lehmiit,lehmiise,lehmiiz,
lehto,leho,lehtoa,lehtose,lehtod,lehtojõ,lehtoit,lehtoisõ,lehtoiz,
leipe,leivä,leipä,leipäse,leived,leipije,leipiit,leipiise,leipiiz,
leivekkõin,leivekkõizõ,leivekkõissõ,leivekkõisõ,leivekkõisõd,leivekkõisijõ,leivekkõisiit,leivekkõisiisõ,leivekkõisiiz,leive- VS leivä-?
lello,lello,lelloa,lellosõ,lellod,lellojõ,lelloit,lelloisõ,lelloiz,
lento,lenno,lentoa,lentosõ,lennod,lentojõ,lentoit,lentoisõ,lentoiz,
lepikko,lepiko,lepikkoa,lepikkosõ,lepikod,lepikkojõ,lepikkoit,lepikkoisõ,lepikkoiz,Laaksol on ainult lühike illatiiv
leppe,lepä,leppä,leppäse,lepäd,leppije,leppiit,leppiise,leppiiz,
liha,liha,liha,lihasõ,lihad,lihojõ,lihoit,lihoisõ,lihoiz,
liikõ,liiga,liika,liikasõ,liigõd,liikojõ,liikoit,liikoisõ,liikoiz,
liippõ,liipa,liippa,liippasõ,liipõd,liippojõ,liippoit,liippoisõ,liippoiz,
liittsõ,liitsa,liittsa,liitsasõ,liitsõd,liittsojõ,liittsoit,liittsoisõ,liittsoiz,
liivikko,liiviko,liivikkoa,liivikkosõ,liivikod,liivikkojõ,liivikkoit,liivikkoisõ,liivikkoiz,
liivõ,liiva,liiva,liiva,liivõd,liivojõ,liivoit,liivoisõ,liivoiz,
liivõkõz,liivõkka,liivõkõssõ,liivõkkasõ,liivõkkad,liivõkkajõ,liivõkkait,liivõkkaisõ,liivõkkaiz,
lina,lina,lina,linasõ,linad,linojõ,linoit,linoisõ,linoiz,
linnõ,linna,linna,linnasõ,linnõd,linnojõ,linnoit,linnoisõ,linnoiz,
lintu,linnu,lintua,lintusõ,linnud,lintujõ,lintuit,lintuisõ,lintuiz,
lippu,lipu,lippua,lippusõ,lipud,lippujõ,lippuit,lippuisõ,lippuiz,
lisä,lizä,lissä,lissäse,lizäd,lissäije,lissäit,lissäise,lissäiz,
litra,litra,litra,litrasõ,litrad,litrojõ,litroit,litroisõ,litroiz,
loba,loba,loba,lobasõ,lobad,lobijõ,lobiit,lobiisõ,lobiiz,
lohko,lohgo,lohkoa,lohkosõ,lohgod,lohkojõ,lohkoit,lohkoisõ,lohkoiz,
lootõ,loovva,loota,lootasõ,loovvõd,lootijõ,lootiit,lootiisõ,lootiiz,
luikko,luiko,luikkoa,luikkosõ,luikod,luikkojõ,luikkoit,luikkoisõ,luikkoiz,
luin,luizõ,luissõ,luizõsõ,luizõd,luisijõ,luisiit,luisiisõ,luisiiz,
luiskõ,luizga,luiska,luiskasõ,luizgõd,luiskijõ,luiskiit,luiskiisõ,luiskiiz,
lukku,luku,lukkua,lukkusõ,lukud,lukkujõ,lukkuit,lukkuisõ,lukkuiz,
luku,lugu,lukkua,lukku,lugud,lukujõ,lukuit,lukuisõ,lukuiz,
lumi,lumõ,lunt,lumõsõ,lumõd,lumijõ,lumiit,lumiisõ,lumiiz,
lusti,lusti,lustia,lustisõ,lustid,lustijõ,lustiit,lustiisõ,lustiiz,
luzikkõ,luzika,luzikka,luzikkasõ,luzikõd,luzikkojõ,luzikkoit,luzikkoisõ,luzikkoiz,
luu,luu,luutõ,luusõ,luud,luijõ,luit,luisõ,luiz,
luu,luu,luutõ,luhõsõ,luud,luijõ,luit,luisõ,luiz,
luukki,luuki,luukkia,luukisõ,luukid,luukijõ,luukkiit,luukkiisõ,luukkiiz,
luukkõ,luuko,luukka,luukasõ,luukõd,luukkõjõ,luukkõit,luukkõisõ,luukkõiz,TODO ühtlüstada õjõ:õit lõpud (millal ojõ millal õjõ)
lõhi,lõhe,lõhtõ,lõhõsõ,lõhõd,lõhijõ,lõhiit,lõhiisõ,lõhiiz,
lõnkõ,lõnga,lõnka,lõnkasõ,lõngõd,lõnkojõ,lõnkoit,lõnkoisõ,lõnkoiz,
lõppu,lõpu,lõppua,lõppu,lõpud,lõppujõ,lõppuit,lõppuisõ,lõppuiz,
lõukõ,lõuga,lõuka,lõukasõ,lõugõd,lõukijõ,lõukiit,lõukiisõ,lõukiiz,
lõunõ,lõuna,lõunattõ,lõunasõ,lõunad,lõunajõ,lõunait,lõunaisõ,lõunaiz,
lõõkku,lõõku,lõõkkua,lõõkkusõ,lõõkud,lõõkkujõ,lõõkkuit,lõõkkuisõ,lõõkkuiz,
lähe,lähte,lähett,lähtese,lähted,lähteje,lähteit,lähteise,lähteiz,
lähe,lähte,lähett,lähese,lähed,läheje,läheit,läheise,läheiz,
läikk,läikki,läikkiä,läikkise,läikkid,läikkije,läikkeit,läikkeise,läikkeiz,
läikkiv,läikkivä,läikkivä,läikkiväse,läikkiväd,läikkivije,läikkiviit,läikkiviise,läikkiviiz,
läkine,läkinä,läkinä,läkinäse,läkined,läkineje,läkineit,läkineise,läkineiz,
läsijõ,läsijä,läsijät,läsijäse,läsijõd,läsijoje,läsijoit,läsijoisõ,läsijoiz,
läsijõ,läsijä,läsijät,läsijäse,läsijed,läsijije,läsijiit,läsijiise,läsijiiz,kas ühtlustada -JA-liidese eespoolseks ja tagapoolseks?
läsive,läsivä,läsivä,läsiväse,läsiväd,läsivije,läsiviit,läsiviise,läsiviiz,
läsü,läzü,lässüä,lässüse,läzüd,lässüje,lässüit,lässüise,lässüiz,
lättilain,lättilaizõ,lättilaissõ,lättilaisõ,lättilaizõd,lättilaisijõ,lättilaisiit,lättilaisiisõ,lättilaisiiz,
löülü,löülü,löülüä,löülüse,löülüd,löülüje,löülüit,löülüise,löülüiz,
lühüd,lühhe,lühütte,lühhese,lühhed,lühije,lühiit,lühiise,lühiiz,
maa,maa,maat,mahasõ,maad,maijõ,mait,maisõ,maiz,
maailmõ,maailma,maailma,maailmasõ,maailmõd,maailmojõ,maailmoit,maailmoisõ,maailmoiz,
maamuna,maamuna,maamuna,maamunase,maamunad,maamunõjõ,maamunõit,maamunõisõ,maamunõiz,
maamõ,maama,maamat,maamasõ,maamõd,maamojõ,maamoit,maamoisõ,maamoiz,
